key,locale,package,origin_text,text
marketplace::phrase.enable_instant_payment,en,metafox/marketplace,Enable Instant Payment,Enable Instant Payment
marketplace::phrase.enable_instant_payment_description,en,metafox/marketplace,"If you enable this option, buyers can make a payment to one of the payment gateways you have on file with us.{hasLink, select,
        1 { To manage your payment gateways, go <a target=""_blank"" href=""{link}"">here</a>.}
        other {}
     }","If you enable this option, buyers can make a payment to one of the payment gateways you have on file with us.{hasLink, select,
        1 { To manage your payment gateways, go <a target=""_blank"" href=""{link}"">here</a>.}
        other {}
     }"
marketplace::phrase.enable_instant_payment_description_mobile,en,metafox/marketplace,"If you enable this option, buyers can make a payment to one of the payment gateways you have on file with us.{hasLink, select,
        1 { To manage your payment gateways, go <a href=""{link}"">here</a>.}
        other {}
     }","If you enable this option, buyers can make a payment to one of the payment gateways you have on file with us.{hasLink, select,
        1 { To manage your payment gateways, go <a href=""{link}"">here</a>.}
        other {}
     }"
marketplace::phrase.enable_point_payment,en,metafox/marketplace,Enable Activity Point Payment,Enable Activity Point Payment
marketplace::phrase.enable_point_payment_description,en,metafox/marketplace,"If you enable this option, buyers can make a payment with their activity points. Listing's owner hasn't setup any payment gateways for your account. So, Activity Point Payment is required if you enable Instant Payment.","If you enable this option, buyers can make a payment with their activity points. Listing's owner hasn't setup any payment gateways for your account. So, Activity Point Payment is required if you enable Instant Payment."
marketplace::phrase.enter_location,en,metafox/marketplace,Enter location,Enter location
marketplace::phrase.entity_type_marketplace,en,metafox/marketplace,marketplace,marketplace
marketplace::phrase.expired,en,metafox/marketplace,Expired,Expired
marketplace::phrase.expired_email_message,en,metafox/marketplace,"Your listing ""{title}"" will expire in {days}.","Your listing ""{title}"" will expire in {days}."
marketplace::phrase.expired_email_subject,en,metafox/marketplace,"Your listing ""{title}"" is soon to expire","Your listing ""{title}"" is soon to expire"
marketplace::phrase.expires_in_total_days,en,metafox/marketplace,"Expires in {total, plural, =1{# day} other{# days}}","Expires in {total, plural, =1{# day} other{# days}}"
marketplace::phrase.expires_in_total_hours,en,metafox/marketplace,"Expires in {total, plural, =1{# hour} other{# hours}}","Expires in {total, plural, =1{# hour} other{# hours}}"
marketplace::phrase.expires_in_total_minutes,en,metafox/marketplace,"Expires in {total, plural, =1{# minute} other{# minutes}}","Expires in {total, plural, =1{# minute} other{# minutes}}"
marketplace::phrase.expires_in_total_seconds,en,metafox/marketplace,"Expires in {total, plural, =1{# second} other{# seconds}}","Expires in {total, plural, =1{# second} other{# seconds}}"
marketplace::phrase.feature,en,metafox/marketplace,Feature,Feature
marketplace::phrase.friends_listings,en,metafox/marketplace,Friends' Listings,Friends' Listings
marketplace::phrase.from,en,metafox/marketplace,From,From
marketplace::phrase.history,en,metafox/marketplace,History,History
marketplace::phrase.home,en,metafox/marketplace,Home,Home
marketplace::phrase.invitation_s_successfully_sent,en,metafox/marketplace,Invitation(s) was sent successfully.,Invitation(s) was sent successfully.
marketplace::phrase.invite_notification,en,metafox/marketplace,Invite Notification,Invite Notification
marketplace::phrase.invite_people_to_come,en,metafox/marketplace,Invite People To Come,Invite People To Come
marketplace::phrase.invoices,en,metafox/marketplace,Invoices,Invoices
marketplace::phrase.label_menu_s,en,metafox/marketplace,Listings,Listings
marketplace::phrase.listing,en,metafox/marketplace,Listing,Listing
marketplace::phrase.listing_approved_notification,en,metafox/marketplace,Listing Approved Notification,Listing Approved Notification
marketplace::phrase.listing_approved_successfully_notification,en,metafox/marketplace,An admin approved your listing.,An admin approved your listing.
marketplace::phrase.listing_change_price_error,en,metafox/marketplace,"The listing has changed the price and your previous invoices for the former pricing are no longer available. For the most recent price, please reload the page.","The listing has changed the price and your previous invoices for the former pricing are no longer available. For the most recent price, please reload the page."
marketplace::phrase.listing_default_category,en,metafox/marketplace,Listing Default Category,Listing Default Category
marketplace::phrase.listing_default_category_description,en,metafox/marketplace,This setting will control the category to which items belong when no category is assigned.,This setting will control the category to which items belong when no category is assigned.
marketplace::phrase.listing_expired_notification,en,metafox/marketplace,Expired Listing Notification,Expired Listing Notification
marketplace::phrase.listing_featured_successfully,en,metafox/marketplace,Listing was featured successfully.,Listing was featured successfully.
marketplace::phrase.listing_has_been_approved_successfully,en,metafox/marketplace,Listing was approved successfully.,Listing was approved successfully.
marketplace::phrase.listing_has_been_updated_successfully,en,metafox/marketplace,Listing was updated successfully.,Listing was updated successfully.
marketplace::phrase.listing_invite_email_message,en,metafox/marketplace,{full_name} invited you to the listing {title}.,{full_name} invited you to the listing {title}.
marketplace::phrase.listing_invite_email_subject,en,metafox/marketplace,Listing Invite,Listing Invite
marketplace::phrase.listing_invite_message,en,metafox/marketplace,<b>{full_name}</b> invited you to the listing <b>{title}</b>.,<b>{full_name}</b> invited you to the listing <b>{title}</b>.
marketplace::phrase.listing_invites,en,metafox/marketplace,Listing Invites,Listing Invites
marketplace::phrase.listings,en,metafox/marketplace,Listings,Listings
marketplace::phrase.listing_successfully_created,en,metafox/marketplace,Listing was successfully created.,Listing was successfully created.
marketplace::phrase.listing_successfully_reopened,en,metafox/marketplace,Listing was reopened successfully.,Listing was reopened successfully.
marketplace::phrase.listing_title,en,metafox/marketplace,Listing title,Listing title
marketplace::phrase.listing_unfeatured_successfully,en,metafox/marketplace,Listing was unfeatured successfully.,Listing was unfeatured successfully.
marketplace::phrase.location_is_a_required_field,en,metafox/marketplace,Location is a required field.,Location is a required field.
marketplace::phrase.manage_invites,en,metafox/marketplace,Manage Invites,Manage Invites
marketplace::phrase.manage_marketplace,en,metafox/marketplace,Manage Marketplace,Manage Marketplace
marketplace::phrase.marketplace,en,metafox/marketplace,Marketplace,Marketplace
marketplace::phrase.marketplace_global_search_label,en,metafox/marketplace,Marketplace,Marketplace
marketplace::phrase.marketplace_label_saved,en,metafox/marketplace,Listing,Listing
marketplace::phrase.marketplace_listings_type,en,metafox/marketplace,Marketplace Listings Type,Marketplace Listings Type
marketplace::phrase.marketplace_notification_type,en,metafox/marketplace,Marketplace Notifications,Marketplace Notifications
marketplace::phrase.maximum_per_upload_limit_reached,en,metafox/marketplace,"You have reached the limit of {limit, plural, =1{# file} other {# files}} in total.","You have reached the limit of {limit, plural, =1{# file} other {# files}} in total."
marketplace::phrase.maximum_title_length,en,metafox/marketplace,Maximum Length for Listing Title,Maximum Length for Listing Title
marketplace::phrase.maximum_title_length_description_required,en,metafox/marketplace,Maximum title length must be greater than or equal to {max}.,Maximum title length must be greater than or equal to {max}.
marketplace::phrase.minimum_title_length,en,metafox/marketplace,Minimum Length for Listing Title,Minimum Length for Listing Title
marketplace::phrase.minimum_title_length_description_required,en,metafox/marketplace,Minimum title length must be greater than or equal to {min}.,Minimum title length must be greater than or equal to {min}.
marketplace::phrase.my_expired_listings,en,metafox/marketplace,My Expired Listings,My Expired Listings
marketplace::phrase.my_listings,en,metafox/marketplace,My Listings,My Listings
marketplace::phrase.my_pending_listings,en,metafox/marketplace,My Pending Listings,My Pending Listings
marketplace::phrase.nearest.view_10_nearest_listings,en,metafox/marketplace,10 nearest listings,10 nearest listings
marketplace::phrase.nearest.view_15_nearest_listings,en,metafox/marketplace,15 nearest listings,15 nearest listings
marketplace::phrase.nearest.view_20_nearest_listings,en,metafox/marketplace,20 nearest listings,20 nearest listings
marketplace::phrase.nearest.view_5_nearest_listings,en,metafox/marketplace,5 nearest listings,5 nearest listings
marketplace::phrase.owner_payment_success_email_message,en,metafox/marketplace,"Your listing ""{title}"" has been purchased by {full_name}.","Your listing ""{title}"" has been purchased by {full_name}."
marketplace::phrase.owner_payment_success_email_subject,en,metafox/marketplace,Your listing has been purchased,Your listing has been purchased
marketplace::phrase.owner_payment_success_message,en,metafox/marketplace,Your listing <b>{title}</b> has been purchased by <b>{full_name}</b>.,Your listing <b>{title}</b> has been purchased by <b>{full_name}</b>.
marketplace::phrase.owner_payment_success_message_without_title,en,metafox/marketplace,Your listing has been purchased by <b>{full_name}</b>.,Your listing has been purchased by <b>{full_name}</b>.
marketplace::phrase.owner_payment_success_notification,en,metafox/marketplace,Listing Success Payment Notification For Owner,Listing Success Payment Notification For Owner
marketplace::phrase.payment_pending_email_message,en,metafox/marketplace,The listing you choose to purchase is awaiting payment.,The listing you choose to purchase is awaiting payment.
marketplace::phrase.payment_pending_email_subject,en,metafox/marketplace,Listing Pending Payment,Listing Pending Payment
marketplace::phrase.payment_pending_message,en,metafox/marketplace,The listing you choose to purchase is awaiting payment.,The listing you choose to purchase is awaiting payment.
marketplace::phrase.payment_pending_notification,en,metafox/marketplace,Listing Pending Payment Notification,Listing Pending Payment Notification
marketplace::phrase.payment_status.all,en,metafox/marketplace,All Status,All Status
marketplace::phrase.payment_status.canceled,en,metafox/marketplace,Canceled,Canceled
marketplace::phrase.payment_status.completed,en,metafox/marketplace,Completed,Completed
marketplace::phrase.payment_status.pending_action,en,metafox/marketplace,Pending Action,Pending Action
marketplace::phrase.payment_status.pending_payment,en,metafox/marketplace,Pending Payment,Pending Payment
marketplace::phrase.payment_success_email_message,en,metafox/marketplace,The listing you chose to purchase was paid successfully.,The listing you chose to purchase was paid successfully.
marketplace::phrase.payment_success_email_subject,en,metafox/marketplace,Listing Successful Payment,Listing Successful Payment
marketplace::phrase.payment_success_message,en,metafox/marketplace,The listing you chose to purchase was paid successfully.,The listing you chose to purchase was paid successfully.
marketplace::phrase.payment_success_notification,en,metafox/marketplace,Listing Success Payment Notification,Listing Success Payment Notification
marketplace::phrase.pending_listings,en,metafox/marketplace,Pending Listings,Pending Listings
marketplace::phrase.permissions,en,metafox/marketplace,Permissions,Permissions
marketplace::phrase.price_is_a_required_field,en,metafox/marketplace,Price is required,Price is required
marketplace::phrase.price_must_be_at_least_number_currency,en,metafox/marketplace,Price must be at least {number} currency,Price must be at least {number} currency
marketplace::phrase.price_must_be_greater_than_or_equal_to_number,en,metafox/marketplace,Price must be greater than or equal to :number.,Price must be greater than or equal to :number.
marketplace::phrase.price_must_be_number,en,metafox/marketplace,Price must be number.,Price must be number.
marketplace::phrase.product_tags,en,metafox/marketplace,Product Tags,Product Tags
marketplace::phrase.purchase,en,metafox/marketplace,Purchase,Purchase
marketplace::phrase.purchase_sponsor_price_desc,en,metafox/marketplace,,
marketplace::phrase.purchase_sponsor_price_label,en,metafox/marketplace,How much is the sponsor space worth for listings? This works in a CPM basis.,How much is the sponsor space worth for listings? This works in a CPM basis.
marketplace::phrase.remove_from_saved_list,en,metafox/marketplace,Remove from Saved list,Remove from Saved list
marketplace::phrase.reopen,en,metafox/marketplace,Reopen,Reopen
marketplace::phrase.repayment,en,metafox/marketplace,Repayment,Repayment
marketplace::phrase.report,en,metafox/marketplace,Report,Report
marketplace::phrase.save,en,metafox/marketplace,Save,Save
marketplace::phrase.search_invoices,en,metafox/marketplace,Search Invoices,Search Invoices
marketplace::phrase.search_listings,en,metafox/marketplace,Search listings,Search listings
marketplace::phrase.search_marketplace,en,metafox/marketplace,Search marketplace,Search marketplace
marketplace::phrase.settings,en,metafox/marketplace,Settings,Settings
marketplace::phrase.short_description,en,metafox/marketplace,Short Description,Short Description
marketplace::phrase.sold_invoices,en,metafox/marketplace,Sold Invoices,Sold Invoices
marketplace::phrase.sort_highest_price_label,en,metafox/marketplace,Price: Highest first,Price: Highest first
marketplace::phrase.sort_lowest_price_label,en,metafox/marketplace,Price: Lowest first,Price: Lowest first
marketplace::phrase.sponsor_in_feed,en,metafox/marketplace,Sponsor in Feed,Sponsor in Feed
marketplace::phrase.sponsor_setting_listing,en,metafox/marketplace,Listing,Listing
marketplace::phrase.sponsor_setting_marketplace,en,metafox/marketplace,Marketplace,Marketplace
marketplace::phrase.sponsor_this_item,en,metafox/marketplace,Sponsor this item,Sponsor this item
marketplace::phrase.sponsor_title,en,metafox/marketplace,Listing: :title,Listing: :title
marketplace::phrase.status,en,metafox/marketplace,Status,Status
marketplace::phrase.successfully_deleted_listing,en,metafox/marketplace,Listing was deleted successfully.,Listing was deleted successfully.
marketplace::phrase.successfully_deleted_the_category,en,metafox/marketplace,Categories was deleted successfully.,Categories was deleted successfully.
marketplace::phrase.the_attached_photos_are_invalid,en,metafox/marketplace,The attached photos are invalid.,The attached photos are invalid.
marketplace::phrase.the_end_time_should_be_greater_than_the_start_time,en,metafox/marketplace,The end time should be greater than the start time.,The end time should be greater than the start time.
marketplace::phrase.the_thumbnail_is_invalid,en,metafox/marketplace,The thumbnail is invalid.,The thumbnail is invalid.
marketplace::phrase.to,en,metafox/marketplace,To,To
marketplace::phrase.type_something_dot,en,metafox/marketplace,Type something...,Type something...
marketplace::phrase.un_feature,en,metafox/marketplace,Unfeature,Unfeature
marketplace::phrase.un_sponsor_in_feed,en,metafox/marketplace,Unsponsor in Feed,Unsponsor in Feed
marketplace::phrase.unsponsor_in_feed,en,metafox/marketplace,Unsponsor in Feed,Unsponsor in Feed
marketplace::phrase.unsponsor_this_item,en,metafox/marketplace,Unsponsor this item,Unsponsor this item
marketplace::phrase.upload_attached_photos_description,en,metafox/marketplace,"You can upload a JPG, GIF, PNG or TIFF, XBM file. The file size is {max_file_size , select, 0{unlimited} other{limited to {max_file_size} MB}}. If the upload does not work, please try smaller images.{has_limit_per_upload, select,
        0 {}
        other { Maximum number of images you can upload in total is: {max_per_upload}.}
    }","You can upload a JPG, GIF, PNG or TIFF, XBM file. The file size is {max_file_size , select, 0{unlimited} other{limited to {max_file_size} MB}}. If the upload does not work, please try smaller images.{has_limit_per_upload, select,
        0 {}
        other { Maximum number of images you can upload in total is: {max_per_upload}.}
    }"
marketplace::phrase.user_commented_on_owner_listing,en,metafox/marketplace,"<b>:user</b> commented on <b>:owner's</b> listing: "":title"".","<b>:user</b> commented on <b>:owner's</b> listing: "":title""."
marketplace::phrase.user_commented_to_your_listing,en,metafox/marketplace,"<b>:user</b> commented on your listing: <b>"":title""</b>.","<b>:user</b> commented on your listing: <b>"":title""</b>."
marketplace::phrase.user_commented_to_your_listing_in_name,en,metafox/marketplace,<b>:user</b> commented on your listing in <b>:name</b>.,<b>:user</b> commented on your listing in <b>:name</b>.
marketplace::phrase.user_name_create_a_new_listing,en,metafox/marketplace,"<b>{user_name}</b> { isTitle, select, 1 {created a new listing <b>{title}</b>} other {created a new listing}}.","<b>{user_name}</b> { isTitle, select, 1 {created a new listing <b>{title}</b>} other {created a new listing}}."
marketplace::phrase.user_privacy.who_can_share_marketplace_listings,en,metafox/marketplace,Who can create marketplace listings?,Who can create marketplace listings?
marketplace::phrase.user_privacy.who_can_view_browse_marketplace_listings,en,metafox/marketplace,Who can view/browse marketplace listings?,Who can view/browse marketplace listings?
marketplace::phrase.user_reacted_to_your_listing,en,metafox/marketplace,<b>:user</b> reacted to your listing: <b>:title</b>.,<b>:user</b> reacted to your listing: <b>:title</b>.
marketplace::phrase.user_reacted_to_your_listing_in_name,en,metafox/marketplace,<b>:user</b> reacted to your listing in <b>:name</b>: <b>:title</b>.,<b>:user</b> reacted to your listing in <b>:name</b>: <b>:title</b>.
marketplace::phrase.what_are_you_selling,en,metafox/marketplace,What are you selling?,What are you selling?
marketplace::phrase.you_have_reached_thue_limit_file,en,metafox/marketplace,You have reached the limit of {max_per_upload} files in total.,You have reached the limit of {max_per_upload} files in total.
marketplace::seo.browse_expire_marketplace,en,metafox/marketplace,Expired,Expired
marketplace::seo.browse_expire_marketplace_desription,en,metafox/marketplace,,
marketplace::seo.browse_expire_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.browse_expire_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.group_profile_marketplace_description,en,metafox/marketplace,,
marketplace::seo.group_profile_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.group_profile_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.group_profile_marketplace_title,en,metafox/marketplace,Marketplace,Marketplace
marketplace::seo.marketplace_browse_all_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_all_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_all_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_all_marketplace_invoice_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_all_marketplace_invoice_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_all_marketplace_invoice_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_all_marketplace_invoice_title,en,metafox/marketplace,Invoices,Invoices
marketplace::seo.marketplace_browse_all_title,en,metafox/marketplace,All Listings,All Listings
marketplace::seo.marketplace_browse_expire_marketplace_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_expire_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_expire_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_expire_marketplace_title,en,metafox/marketplace,Expired,Expired
marketplace::seo.marketplace_browse_friend_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_friend_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_friend_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_friend_title,en,metafox/marketplace,Friends' Listings,Friends' Listings
marketplace::seo.marketplace_browse_history_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_history_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_history_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_history_title,en,metafox/marketplace,History,History
marketplace::seo.marketplace_browse_invite_marketplace_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invite_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invite_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invite_marketplace_title,en,metafox/marketplace,Listing Invites,Listing Invites
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_bought_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_bought_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_bought_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_bought_title,en,metafox/marketplace,Bought Invoices,Bought Invoices
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_sold_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_sold_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_sold_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_invoice_marketplace_invoice_sold_title,en,metafox/marketplace,Sold Invoices,Sold Invoices
marketplace::seo.marketplace_browse_my_pending_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_my_pending_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_my_pending_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_my_pending_title,en,metafox/marketplace,My Pending Listings,My Pending Listings
marketplace::seo.marketplace_browse_pending_marketplace_description,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_pending_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_pending_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_browse_pending_marketplace_title,en,metafox/marketplace,Pending Listings,Pending Listings
marketplace::seo.marketplace_create_description,en,metafox/marketplace,,
marketplace::seo.marketplace_create_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_create_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_create_title,en,metafox/marketplace,Add New Listing,Add New Listing
marketplace::seo.marketplace_edit_description,en,metafox/marketplace,,
marketplace::seo.marketplace_edit_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_edit_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_edit_title,en,metafox/marketplace,Edit Listing,Edit Listing
marketplace::seo.marketplace_invites_title,en,metafox/marketplace,Listing Invites,Listing Invites
marketplace::seo.marketplace_invoice_view_detail_description,en,metafox/marketplace,,
marketplace::seo.marketplace_invoice_view_detail_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_invoice_view_detail_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_invoice_view_detail_title,en,metafox/marketplace,Invoice Detail,Invoice Detail
marketplace::seo.marketplace_landing_description,en,metafox/marketplace,,
marketplace::seo.marketplace_landing_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_landing_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_landing_title,en,metafox/marketplace,Marketplace,Marketplace
marketplace::seo.marketplace_marketplace_description,en,metafox/marketplace,,
marketplace::seo.marketplace_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_marketplace_title,en,metafox/marketplace,Search Results,Search Results
marketplace::seo.marketplace_my_description,en,metafox/marketplace,,
marketplace::seo.marketplace_my_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_my_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_my_title,en,metafox/marketplace,My Listings,My Listings
marketplace::seo.marketplace_view_detail_description,en,metafox/marketplace,,
marketplace::seo.marketplace_view_detail_heading,en,metafox/marketplace,,
marketplace::seo.marketplace_view_detail_keywords,en,metafox/marketplace,,
marketplace::seo.marketplace_view_detail_title,en,metafox/marketplace,{title},{title}
marketplace::seo.page_profile_marketplace_description,en,metafox/marketplace,,
marketplace::seo.page_profile_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.page_profile_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.page_profile_marketplace_title,en,metafox/marketplace,Marketplace,Marketplace
marketplace::seo.user_profile_marketplace_description,en,metafox/marketplace,,
marketplace::seo.user_profile_marketplace_heading,en,metafox/marketplace,,
marketplace::seo.user_profile_marketplace_keywords,en,metafox/marketplace,,
marketplace::seo.user_profile_marketplace_title,en,metafox/marketplace,{full_name},{full_name}
marketplace::web.added_a_marketplace,en,metafox/marketplace,"{appName, select,
        feed {{
            parentType, select,
                group {{isShared, select,
                    1 {<profile>profile</profile>}
                    other {added a listing in <profile>profile</profile>}
                }}
                page {{isShared, select,
                    1 {<profile>profile</profile>}
                    other {added a listing in <profile>profile</profile>}
                }}
                other {added a listing}
        }}

        other {{isShared, select,
            0 {added a listing}
            other {{parentType, select,
                0 {added a listing}
                other {<profile>profile</profile>}
            }}
        }}
    }","{appName, select,
        feed {{
            parentType, select,
                group {{isShared, select,
                    1 {<profile>profile</profile>}
                    other {added a listing in <profile>profile</profile>}
                }}
                page {{isShared, select,
                    1 {<profile>profile</profile>}
                    other {added a listing in <profile>profile</profile>}
                }}
                other {added a listing}
        }}

        other {{isShared, select,
            0 {added a listing}
            other {{parentType, select,
                0 {added a listing}
                other {<profile>profile</profile>}
            }}
        }}
    }"
marketplace::web.add_marketplace,en,metafox/marketplace,Add New Listing,Add New Listing
marketplace::web.add_new_listing,en,metafox/marketplace,Add New Listing,Add New Listing
marketplace::web.all_invoices,en,metafox/marketplace,Invoices,Invoices
marketplace::web.amount,en,metafox/marketplace,Amount,Amount
marketplace::web.back_to_invoices,en,metafox/marketplace,Back to Invoices,Back to Invoices
marketplace::web.bought,en,metafox/marketplace,Bought,Bought
marketplace::web.buyer,en,metafox/marketplace,Buyer,Buyer
marketplace::web.featured_listings,en,metafox/marketplace,Featured Listings,Featured Listings
marketplace::web.filter_price,en,metafox/marketplace,"{min, select, 0{{max, select, 0{free} other{below {max}}}} other{{max, select, 0{above {min}} other{{min} to {max}}}}}","{min, select, 0{{max, select, 0{free} other{below {max}}}} other{{max, select, 0{above {min}} other{{min} to {max}}}}}"
marketplace::web.invited_people,en,metafox/marketplace,Invited People,Invited People
marketplace::web.invoices,en,metafox/marketplace,Invoices,Invoices
marketplace::web.listing_detail,en,metafox/marketplace,Listing Detail,Listing Detail
marketplace::web.listing_is_waiting_approve,en,metafox/marketplace,This listing is waiting for approval,This listing is waiting for approval
marketplace::web.listings,en,metafox/marketplace,Listings,Listings
marketplace::web.my_listings,en,metafox/marketplace,My Listings,My Listings
marketplace::web.my_pending_listings,en,metafox/marketplace,My Pending Listings,My Pending Listings
marketplace::web.name_type_listing,en,metafox/marketplace,Listing,Listing
marketplace::web.name_type_marketplace,en,metafox/marketplace,Marketplace,Marketplace
marketplace::web.no_marketplace_found,en,metafox/marketplace,No listings are found.,No listings are found.
marketplace::web.no_marketplace_found_description,en,metafox/marketplace,Add a new listing to establish your trading activities.,Add a new listing to establish your trading activities.
marketplace::web.no_marketplace_invoices_found,en,metafox/marketplace,No invoices are found.,No invoices are found.
marketplace::web.no_one_has_been_invited,en,metafox/marketplace,No one has been invited.,No one has been invited.
marketplace::web.payment_status,en,metafox/marketplace,Payment Status,Payment Status
marketplace::web.popular_listings,en,metafox/marketplace,Popular Listings,Popular Listings
marketplace::web.price_is_not_available,en,metafox/marketplace,Price is not available,Price is not available
marketplace::web.resource_name_lower_case_marketplace,en,metafox/marketplace,listing,listing
marketplace::web.search_by_location,en,metafox/marketplace,Search by location...,Search by location...
marketplace::web.search_marketplace,en,metafox/marketplace,Search marketplace,Search marketplace
marketplace::web.search_marketplaces,en,metafox/marketplace,Search marketplaces,Search marketplaces
marketplace::web.seller,en,metafox/marketplace,Seller,Seller
marketplace::web.sold_invoices,en,metafox/marketplace,Sold Invoices,Sold Invoices
marketplace::web.sponsored_listings,en,metafox/marketplace,Sponsored Listings,Sponsored Listings
marketplace::web.tab_listing_all,en,metafox/marketplace,All Listings,All Listings
marketplace::web.transaction_date,en,metafox/marketplace,Transaction Date,Transaction Date
menu::phrase.add_new_item,en,metafox/menu,Add New Item,Add New Item
menu::phrase.add_new_menu,en,metafox/menu,Add New Menu,Add New Menu
menu::phrase.admin_top_menu_label,en,metafox/menu,Admin Top Menu,Admin Top Menu
menu::phrase.app_name,en,metafox/menu,Menu,Menu
menu::phrase.browse_admin_sidebar_item,en,metafox/menu,,
menu::phrase.browse_menu_item,en,metafox/menu,,
menu::phrase.context_menu_label,en,metafox/menu,Context Menu,Context Menu
menu::phrase.create_item,en,metafox/menu,,
menu::phrase.edit_menu,en,metafox/menu,Edit Menu,Edit Menu
menu::phrase.edit_menu_item,en,metafox/menu,Edit Item,Edit Item
menu::phrase.enable_when_label,en,metafox/menu,Enable When,Enable When
menu::phrase.entity_type_menu,en,metafox/menu,menu,menu
menu::phrase.entity_type_menuitem,en,metafox/menu,menu item,menu item
menu::phrase.json_configuration_desc,en,metafox/menu,"Please input the configuration in JSON format. For example, {""attribute_1"": ""value_1"", ""attribute_2"": [""value_1"", ""value_2"", ""value_3""]}.","Please input the configuration in JSON format. For example, {""attribute_1"": ""value_1"", ""attribute_2"": [""value_1"", ""value_2"", ""value_3""]}."
menu::phrase.manage_menu,en,metafox/menu,Manage Menu,Manage Menu
menu::phrase.menu_item_created_successfully,en,metafox/menu,Menu item was created successfully.,Menu item was created successfully.
menu::phrase.menu_item_label_desc,en,metafox/menu,"Assign a label to your menu. If translation into another language is necessary for the menu, consider specifying a phrase key here (e.g., core::phrase.app_settings).","Assign a label to your menu. If translation into another language is necessary for the menu, consider specifying a phrase key here (e.g., core::phrase.app_settings)."
menu::phrase.menu_item_module_id_desc,en,metafox/menu,"Choose the package to which the menu belongs. When you deactivate this package, the menu shall disappear.","Choose the package to which the menu belongs. When you deactivate this package, the menu shall disappear."
menu::phrase.menu_item_updated_successfully,en,metafox/menu,Menu item was updated successfully.,Menu item was updated successfully.
menu::phrase.menu_key_name,en,metafox/menu,Key Name,Key Name
menu::phrase.menu_key_name_hint,en,metafox/menu,Use this key name to map a menu item to this menu.,Use this key name to map a menu item to this menu.
menu::phrase.menu_label,en,metafox/menu,Menu,Menu
menu::phrase.menus,en,metafox/menu,Menus,Menus
menu::phrase.menu_setting,en,metafox/menu,,
menu::phrase.menu_settings,en,metafox/menu,Settings,Settings
menu::phrase.menus_successfully_ordered,en,metafox/menu,Menu was ordered successfully.,Menu was ordered successfully.
